app_name,score,features
com.android.system.op.guardianship.server.apk,0.35038363171355497,"{'critical': 3, 'warning': 5, 'notice': 4, 'info': 40}"
com.web.sdfile.apk,0.14322250639386191,"{'critical': 3, 'warning': 0, 'notice': 3, 'info': 47}"
org.starsizew.apk,0.01790281329923271,"{'critical': 0, 'warning': 1, 'notice': 2, 'info': 49}"
com.funnyys.apk,0.1790281329923274,"{'critical': 1, 'warning': 4, 'notice': 2, 'info': 45}"
lantern.skyflash.com.lantern.apk,0.10230179028132991,"{'critical': 1, 'warning': 2, 'notice': 2, 'info': 47}"
com.sdwiurse.apk,0.1585677749360614,"{'critical': 3, 'warning': 0, 'notice': 4, 'info': 45}"
com.mazar.apk,0.45780051150895146,"{'critical': 3, 'warning': 7, 'notice': 5, 'info': 39}"
com.good.sunsine.apk,0.35294117647058826,"{'critical': 3, 'warning': 4, 'notice': 6, 'info': 39}"
com.saver.batterymobi.apk,0.22506393861892587,"{'critical': 2, 'warning': 4, 'notice': 2, 'info': 44}"
com.paranbijuv.aijuy.apk,0.06905370843989772,"{'critical': 1, 'warning': 1, 'notice': 2, 'info': 49}"
com.thinkking.apk,0.1790281329923274,"{'critical': 1, 'warning': 4, 'notice': 2, 'info': 45}"
cosmetiq.fl.apk,0.411764705882353,"{'critical': 3, 'warning': 7, 'notice': 3, 'info': 40}"
org.benews.apk,0.0843989769820972,"{'critical': 1, 'warning': 1, 'notice': 3, 'info': 47}"
com.geohot.towelroot.apk,0.0,"{'critical': 0, 'warning': 0, 'notice': 3, 'info': 49}"
com.specgamer.arcappmb.apk,0.005115089514066473,"{'critical': 1, 'warning': 0, 'notice': 1, 'info': 50}"
com.example.androiddefender2.apk,0.14066496163682868,"{'critical': 1, 'warning': 3, 'notice': 2, 'info': 46}"
com.paranbijuv.aijuy.apk,0.06905370843989772,"{'critical': 1, 'warning': 1, 'notice': 2, 'info': 49}"
com.example.androiddefender2.apk,0.14066496163682868,"{'critical': 1, 'warning': 3, 'notice': 2, 'info': 46}"
com.android.music.helper.apk,0.22250639386189258,"{'critical': 1, 'warning': 3, 'notice': 6, 'info': 42}"
com.android.system.certificate.apk,0.22250639386189258,"{'critical': 1, 'warning': 3, 'notice': 6, 'info': 42}"
jgywwv.jvyjsd.sordvd.apk,0.17135549872122763,"{'critical': 0, 'warning': 5, 'notice': 2, 'info': 45}"
com.maxauto.maxiplusap.apk,0.07928388746803072,"{'critical': 0, 'warning': 1, 'notice': 5, 'info': 46}"
com.example.androiddefender2.apk,0.18414322250639387,"{'critical': 1, 'warning': 4, 'notice': 2, 'info': 46}"
com.chistescortos.apk,0.05626598465473148,"{'critical': 0, 'warning': 2, 'notice': 2, 'info': 48}"
com.kitchenn.apk,0.1790281329923274,"{'critical': 1, 'warning': 4, 'notice': 2, 'info': 45}"
com.BioTechnology.iClientsService44370.apk,0.18158567774936057,"{'critical': 1, 'warning': 3, 'notice': 4, 'info': 44}"
com.q.t.apk,0.1687979539641944,"{'critical': 2, 'warning': 2, 'notice': 3, 'info': 45}"
qy.opb.xb.mm.thkp.apk,0.8900255754475703,"{'critical': 9, 'warning': 10, 'notice': 7, 'info': 28}"
com.romaticpost.apk,0.05626598465473148,"{'critical': 0, 'warning': 2, 'notice': 2, 'info': 48}"
com.mile.brain.apk,0.6061381074168799,"{'critical': 5, 'warning': 7, 'notice': 8, 'info': 33}"
com.parental.control.v4.apk,0.07672634271099743,"{'critical': 0, 'warning': 2, 'notice': 3, 'info': 47}"
com.fdhgkjhrtjkjbx.model.apk,0.12531969309462915,"{'critical': 1, 'warning': 1, 'notice': 5, 'info': 45}"
com.android.service.apk,0.4961636828644502,"{'critical': 6, 'warning': 4, 'notice': 6, 'info': 37}"
