app_name,combined score,combined features
MMS Messaging,0.3748335238723821,"(""{'Telephony Identifiers Leakage': 4, 'Device Settings Harvesting': 115, 'Connection Interfaces Exfiltration': 2, 'Telephony Services Abuse': 1, 'Suspicious Connection Establishment': 1, 'Pim Data Leakage': 1, 'Code Execution': 6}"", ""{'critical': 2, 'warning': 4, 'notice': 2, 'info': 44}"")"
Laughtter,0.6380072365552112,"(""{'Telephony Identifiers Leakage': 9, 'Device Settings Harvesting': 117, 'Connection Interfaces Exfiltration': 2, 'Telephony Services Abuse': 1, 'Suspicious Connection Establishment': 2, 'Pim Data Leakage': 1}"", ""{'critical': 4, 'warning': 6, 'notice': 6, 'info': 38}"")"
Adobe Flash Player,0.06905370843989772,"('{}', ""{'critical': 1, 'warning': 1, 'notice': 2, 'info': 49}"")"
Gutscheine Kostenlos,0.19105566490270723,"(""{'Telephony Identifiers Leakage': 4, 'Device Settings Harvesting': 1, 'Connection Interfaces Exfiltration': 1}"", ""{'critical': 1, 'warning': 4, 'notice': 2, 'info': 46}"")"
전주버스,1.4501278772378516,"(""{'Telephony Identifiers Leakage': 7, 'Device Settings Harvesting': 849, 'Connection Interfaces Exfiltration': 2, 'Telephony Services Abuse': 1, 'Audio Video Eavesdropping': 1, 'Suspicious Connection Establishment': 2, 'Pim Data Leakage': 1, 'Code Execution': 5}"", ""{'critical': 3, 'warning': 6, 'notice': 7, 'info': 36}"")"
Sincronizzazione Contatti Android,0.47644583780216154,"(""{'Telephony Identifiers Leakage': 7, 'Device Settings Harvesting': 180, 'Connection Interfaces Exfiltration': 2, 'Suspicious Connection Establishment': 4, 'Pim Data Leakage': 1, 'Code Execution': 2}"", ""{'critical': 4, 'warning': 2, 'notice': 2, 'info': 46}"")"
Adobe Flash Player,0.70076726342711,"('{}', ""{'critical': 8, 'warning': 6, 'notice': 8, 'info': 30}"")"
万能电影播放器,0.09131141937841056,"(""{'Device Settings Harvesting': 1, 'Code Execution': 5}"", ""{'critical': 1, 'warning': 1, 'notice': 3, 'info': 47}"")"
Desktop WLauncher,1.3055440970216978,"(""{'Telephony Identifiers Leakage': 15, 'Device Settings Harvesting': 771, 'Connection Interfaces Exfiltration': 2, 'Telephony Services Abuse': 1, 'Suspicious Connection Establishment': 2, 'Pim Data Leakage': 3, 'Code Execution': 4}"", ""{'critical': 4, 'warning': 3, 'notice': 7, 'info': 39}"")"
WifiSearch,0.05626598465473148,"('{}', ""{'critical': 0, 'warning': 2, 'notice': 2, 'info': 48}"")"
Label_Reader,0.18905205841102224,"(""{'Device Settings Harvesting': 40, 'Connection Interfaces Exfiltration': 2}"", ""{'critical': 1, 'warning': 3, 'notice': 2, 'info': 46}"")"
